year, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, NorESM2-LM, NorESM2-MM
2.015000000000000000e+03, 6.089039384565360994e-10, 1.094498152800205129e-10, 4.596305837634988472e-10, 3.519593152266544582e-10, 4.368355719546017595e-10
2.016000000000000000e+03, 3.014540192250353162e-10, 1.329132318406317007e-10, 4.875868280759678773e-10, 1.958715378762194917e-10, 5.083548276852915132e-10
2.017000000000000000e+03, 2.438314922293835766e-10, 1.193866258696038087e-10, 4.626155389955519310e-10, 5.498386136330211396e-10, 2.083601997659588397e-10
2.018000000000000000e+03, 2.147785474575706741e-10, 9.283343985938525364e-11, 3.548207614991918050e-10, 3.418974101168274428e-10, 3.313590791818154085e-10
2.019000000000000000e+03, 2.413902870107678725e-10, 9.959173207811359280e-11, 4.917787104646462448e-10, 3.189525049531975647e-10, 2.401935911295820160e-10
2.020000000000000000e+03, 1.424868491088638194e-10, 1.053072148590920421e-10, 3.878779714931866469e-10, 2.921182606756968287e-10, 5.470942148073774279e-10
2.021000000000000000e+03, 3.220892321845401095e-10, 1.388102262838993185e-10, 4.521554824098148296e-10, 4.818047349188784291e-10, 4.730137873422873362e-10
2.022000000000000000e+03, 3.633901185127302826e-10, 1.328017549779901534e-10, 4.389903111566445169e-10, 3.196713980885685405e-10, 4.849941811511475599e-10
2.023000000000000000e+03, 3.717408373922636116e-10, 1.042261476741971291e-10, 5.227261949736706551e-10, 3.662270235697352054e-10, 4.978088075187843130e-10
2.024000000000000000e+03, 3.884439750459103647e-10, 1.209078678032238486e-10, 9.140020821153545730e-10, 3.119852614504326185e-10, 2.409206185333682447e-10
2.025000000000000000e+03, 4.296650982490821013e-10, 1.060857273766274959e-10, 3.528799391854113687e-10, 3.022814110221921014e-10, 3.572897297928301863e-10
2.026000000000000000e+03, 1.782422501009758403e-10, 1.109632932721031223e-10, 5.044347588293159826e-10, 3.055949483502593050e-10, 2.178331716181985367e-10
2.027000000000000000e+03, 5.530534007215524568e-10, 7.230689337822064813e-11, 8.926694475260220157e-10, 2.394034240927753699e-10, 3.347363852437429842e-10
2.028000000000000000e+03, 1.815309303861474257e-10, 1.502886110755456411e-10, 9.227508168595208917e-10, 5.905309872969060988e-10, 4.528387781963364520e-10
2.029000000000000000e+03, 3.449314131711206883e-10, 1.086556627088955615e-10, 4.698576258521697767e-10, 2.194489246593444269e-10, 1.991891110479590754e-10
2.030000000000000000e+03, 9.368561238266680975e-10, 1.132576254152938563e-10, 4.250186732448011032e-10, 3.561317926009609219e-10, 2.549593277097443303e-10
2.031000000000000000e+03, 2.273204343814816639e-10, 1.243595074181407857e-10, 1.050597138928653610e-09, 4.841877452098991946e-10, 2.449108653398580752e-10
2.032000000000000000e+03, 3.338153715181688776e-10, 1.201965648248909148e-10, 3.298608330924493709e-10, 2.737736029753075932e-10, 3.537597730535883465e-10
2.033000000000000000e+03, 1.971345521356340841e-10, 1.296687896203668950e-10, 6.958976093493231339e-10, 5.546344218972868202e-10, 4.131612397046457949e-10
2.034000000000000000e+03, 2.489586233788380437e-10, 8.943953650420916427e-11, 8.581357477642330497e-10, 4.013972805254184672e-10, 3.843401762526505170e-10
2.035000000000000000e+03, 7.213142016244388545e-10, 1.168569334958928945e-10, 9.782617168648528205e-10, 2.545205506384101753e-10, 5.389176793936054123e-10
2.036000000000000000e+03, 6.786148365069935470e-10, 1.294889728689599653e-10, 5.394519897005735501e-10, 3.917251984468028303e-10, 6.693236675070645064e-10
2.037000000000000000e+03, 2.910305113053212238e-10, 1.136744648978790660e-10, 8.571769616166217652e-10, 2.243970606827706500e-10, 1.937598158594342343e-10
2.038000000000000000e+03, 2.586048769057894614e-10, 1.372339396736754910e-10, 8.613880997315144141e-10, 3.450653574166211530e-10, 1.725512070286739769e-10
2.039000000000000000e+03, 3.734808801254116216e-10, 1.775203756033977429e-10, 5.578989702801824818e-10, 5.123547091565081984e-10, 6.892296548868815217e-10
2.040000000000000000e+03, 5.842955518349672886e-10, 1.371023521666151757e-10, 3.775461010981578486e-10, 6.537901621995972874e-10, 4.183758647367496583e-10
2.041000000000000000e+03, 6.143306518843883534e-10, 1.356291117197604163e-10, 5.565064073063996668e-10, 2.626890981837705121e-10, 2.989147239477176018e-10
2.042000000000000000e+03, 3.737411556725698750e-10, 1.351938043227617125e-10, 9.286127553393104499e-10, 2.844295720288953886e-10, 3.405702658667165736e-10
2.043000000000000000e+03, 5.723393165194178331e-10, 1.250473502413105622e-10, 1.050858111316148254e-09, 3.218521969004928352e-10, 4.522652006116441256e-10
2.044000000000000000e+03, 3.643043464341016839e-10, 1.147141881861038743e-10, 5.730300406280747314e-10, 7.923760651989521931e-10, 5.949741725633745360e-10
2.045000000000000000e+03, 2.968666354901385639e-10, 9.940269261966112420e-11, 5.912400924695432780e-10, 5.392680022224170918e-10, 4.257765265565259012e-10
2.046000000000000000e+03, 3.255099040075297137e-10, 1.508225766367690541e-10, 6.641360259342389994e-10, 3.879676398683040967e-10, 6.902444426269515201e-10
2.047000000000000000e+03, 4.829943483586311405e-10, 1.447654960560152421e-10, 5.718132196674681060e-10, 3.032247126789977137e-10, 6.147133474051140210e-10
2.048000000000000000e+03, 3.775780272867133969e-10, 8.757666713341089912e-11, 4.960832114517576410e-10, 3.608729675095757019e-10, 5.241410723204662198e-10
2.049000000000000000e+03, 7.643566578494334384e-10, 1.401272954310212838e-10, 4.713939582874999963e-10, 5.212946112987696462e-10, 2.732063543471509863e-10
2.050000000000000000e+03, 2.375163894579652638e-10, 1.574021961672849439e-10, 6.501404266199448472e-10, 2.660206845173771069e-10, 3.124586135378145524e-10
2.051000000000000000e+03, 2.608711297900042453e-10, 1.470043361897736423e-10, 7.781110466388998923e-10, 4.598043934642077635e-10, 5.524330727950644351e-10
2.052000000000000000e+03, 6.004185798305295759e-10, 1.109233514268435157e-10, 4.748932926063589204e-10, 4.502698732307555356e-10, 7.996517839696096638e-10
2.053000000000000000e+03, 5.848280737559947454e-10, 1.029030454401694496e-10, 5.993631659906066056e-10, 1.915287732246203712e-10, 5.300646972656757756e-10
2.054000000000000000e+03, 4.033656904871173622e-10, 1.292606193638793138e-10, 5.819657119425068254e-10, 2.492754118560775062e-10, 4.277208199403475913e-10
2.055000000000000000e+03, 4.549877551214339658e-10, 1.411129074295054897e-10, 5.617766367555709093e-10, 5.433474226563652968e-10, 7.910466456624109068e-10
2.056000000000000000e+03, 4.750107405497528013e-10, 1.489136277280184715e-10, 6.932614271144224162e-10, 5.356893371966183103e-10, 2.330691093122159348e-10
2.057000000000000000e+03, 5.125515840333899080e-10, 1.593915919291006627e-10, 5.575878907021223234e-10, 2.625000172877333043e-10, 3.462834600053025630e-10
2.058000000000000000e+03, 4.173473317687978971e-10, 9.655852579128218452e-11, 7.220626573767383901e-10, 5.696168218267705249e-10, 4.915526179312181975e-10
2.059000000000000000e+03, 3.641708413527116827e-10, 9.995343724690584033e-11, 8.677845104580784642e-10, 3.118804723026630348e-10, 5.645346760539394129e-10
2.060000000000000000e+03, 3.752229920152922361e-10, 2.006016346819188925e-10, 7.611214341899785632e-10, 3.347272648008576716e-10, 4.138752313331131967e-10
2.061000000000000000e+03, 6.019597185832981577e-10, 1.302545924566139642e-10, 7.651631084271494330e-10, 4.780371467949481547e-10, 5.117176157694086556e-10
2.062000000000000000e+03, 8.346948281748075203e-10, 8.813734017364618225e-11, 3.676543669007477992e-10, 7.058455365059615709e-10, 3.647246528124310828e-10
2.063000000000000000e+03, 7.484671042982238238e-10, 1.842314336189397157e-10, 6.491174243763613780e-10, 5.252952918779765206e-10, 5.353182386260954840e-10
2.064000000000000000e+03, 4.141106994985024656e-10, 1.381727165469621071e-10, 9.020579581745951913e-10, 4.378000011378201003e-10, 4.012809942738342398e-10
2.065000000000000000e+03, 2.943056991861191741e-10, 1.415012164587890383e-10, 7.524056579188152250e-10, 5.081173274657890869e-10, 6.610835620369734041e-10
2.066000000000000000e+03, 3.557577037304528452e-10, 1.352624102071942825e-10, 4.952955955532734609e-10, 3.504150882735285419e-10, 4.470139313516986531e-10
2.067000000000000000e+03, 6.134670347631149920e-10, 1.390454962541222516e-10, 1.121196016357870894e-09, 2.588369998568188954e-10, 2.390960517332594838e-10
2.068000000000000000e+03, 5.650170169315458488e-10, 1.443478743121575664e-10, 8.040136426355513699e-10, 3.426443343088321208e-10, 6.840168919987233205e-10
2.069000000000000000e+03, 6.360314096095864668e-10, 9.538098709479297784e-11, 6.175010779168463786e-10, 5.861393426230216319e-10, 7.650208845107879362e-10
2.070000000000000000e+03, 5.598557543701607755e-10, 1.534057924226362152e-10, 1.185548086717631810e-09, 3.978939833850209232e-10, 3.341671367868836777e-10
2.071000000000000000e+03, 8.951263765023745133e-10, 1.189071077561835940e-10, 6.099869320775880338e-10, 4.724352878211040912e-10, 6.104865528225654132e-10
2.072000000000000000e+03, 3.109621222600682230e-10, 9.257613885959427801e-11, 7.658539231913304105e-10, 6.849990746567249335e-10, 4.013945242172557797e-10
2.073000000000000000e+03, 5.683406539343577399e-10, 1.623410294909963409e-10, 4.618388132493063281e-10, 3.959798853517326710e-10, 4.169215871574168762e-10
2.074000000000000000e+03, 5.927556042581889693e-10, 1.517571831379737620e-10, 5.698879992587187513e-10, 8.361930521599132580e-10, 3.615460714831518223e-10
2.075000000000000000e+03, 4.295458408511188140e-10, 1.155893069775934922e-10, 8.149105206852919147e-10, 5.613989828326809906e-10, 6.459980916799230847e-10
2.076000000000000000e+03, 4.806499873165878840e-10, 1.346588149971059772e-10, 7.519789644165988854e-10, 5.227069758380578460e-10, 5.074772963647881799e-10
2.077000000000000000e+03, 2.983060114840944057e-10, 1.554366279985101188e-10, 1.004981903151689204e-09, 2.768860764410304685e-10, 6.399906281099649824e-10
2.078000000000000000e+03, 3.976879865246362139e-10, 1.230452168923294694e-10, 5.787224269449058208e-10, 4.420818801708059073e-10, 4.129379781770903027e-10
2.079000000000000000e+03, 4.249357994585037254e-10, 8.888181852445332709e-11, 8.806793792393300146e-10, 5.525330101440918866e-10, 6.099576543646210937e-10
2.080000000000000000e+03, 7.890005367056270566e-10, 1.017480142860009682e-10, 6.759655756956067096e-10, 3.523934947272928391e-10, 4.293488357931651900e-10
2.081000000000000000e+03, 2.776796574955130529e-10, 1.320304430474940345e-10, 8.056801209105327803e-10, 1.780155526958279121e-10, 4.335501980854683748e-10
2.082000000000000000e+03, 3.319248177734414391e-10, 1.158495917020314000e-10, 6.098802154489728468e-10, 4.672915028569226126e-10, 4.941157109561706022e-10
2.083000000000000000e+03, 3.965261739236688599e-10, 1.292910482125920455e-10, 6.770285923804870570e-10, 4.944167139987092236e-10, 6.382238466987386997e-10
2.084000000000000000e+03, 4.818404169390604042e-10, 1.539504200125507652e-10, 6.550172631315416799e-10, 2.249712191650977916e-10, 7.092204979006307133e-10
2.085000000000000000e+03, 4.394773128000522582e-10, 9.003499634821002828e-11, 5.719377851634235393e-10, 5.956798381712898487e-10, 3.407534733303433868e-10
2.086000000000000000e+03, 4.012589633398643912e-10, 1.025835111314918229e-10, 8.553390478542988393e-10, 4.726608461765412127e-10, 4.362895478397784474e-10
2.087000000000000000e+03, 4.376961174562915916e-10, 1.222864423806354562e-10, 4.478526867389733512e-10, 5.626180523859861047e-10, 3.105128767312589668e-10
2.088000000000000000e+03, 3.617644450616778437e-10, 1.035201244846157839e-10, 5.824710701365242633e-10, 3.542505586851404312e-10, 6.070638322555300085e-10
2.089000000000000000e+03, 4.158602008551886491e-10, 1.139717976645001956e-10, 9.116942805890807282e-10, 4.919638078353720856e-10, 5.345337700935537717e-10
2.090000000000000000e+03, 2.934914600586448068e-10, 9.906036318776591596e-11, 8.804693347995058904e-10, 6.938402256474197113e-10, 4.550670965165190161e-10
2.091000000000000000e+03, 3.718417213103753657e-10, 1.280203162656841726e-10, 4.603875575416806761e-10, 4.381059535069630578e-10, 2.239412208496551204e-10
2.092000000000000000e+03, 4.479082222559007064e-10, 1.746683731224168763e-10, 6.308874272950278980e-10, 3.780337442217799712e-10, 4.230308265173754013e-10
2.093000000000000000e+03, 8.826082368306219480e-10, 8.731117785800944763e-11, 5.906558304077512794e-10, 7.019993111343405701e-10, 1.115484051479781042e-09
2.094000000000000000e+03, 3.680138666347576707e-10, 5.684539137655222620e-11, 8.784596153147601372e-10, 1.153187891166988616e-09, 5.196586449850151111e-10
2.095000000000000000e+03, 3.081391874206911971e-10, 1.674378550572931416e-10, 5.276867050954618837e-10, 2.472425919668951600e-10, 4.113612190794904294e-10
2.096000000000000000e+03, 4.302690748128439435e-10, 1.289574360051648184e-10, 9.744969026612124354e-10, 5.549374208685527056e-10, 5.194789300318611766e-10
2.097000000000000000e+03, 1.002043255155777868e-09, 9.027605955324970090e-11, 3.653814005117917569e-10, 5.667432785765708313e-10, 4.049863833596908053e-10
2.098000000000000000e+03, 4.195776821353571017e-10, 1.774885428790675304e-10, 5.881025516752842955e-10, 4.275169349070507312e-10, 4.970662436425269696e-10
2.099000000000000000e+03, 3.582067246504637552e-10, 1.184952275648858235e-10, 1.121791700486367140e-09, 5.665446929616989824e-10, 3.672841777274601879e-10
2.100000000000000000e+03, 4.466745980383432839e-10, 1.613340552844225850e-10, 6.910950897222586702e-10, 4.407047804386881363e-10, 3.280908765243757589e-10
