year, MIROC-ES2L, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, CMCC-CM2-SR5, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5, CanESM5, NorESM2-LM, NorESM2-MM
2.015000000000000000e+03, 7.298965062795301151e+01, 1.180170022900394677e+01, 5.222573927413329642e+01, 7.113009653948942912e+00, 1.042743813946289677e+01, 1.895447358800528059e+00, 5.726168844137465186e+01, 6.627848229895255372e+01, 1.883870237662241820e+01, 1.066672493089497387e+01, 1.755524581631478753e+01, 6.976459533785994260e+00, 7.042357035499571261e+00
2.016000000000000000e+03, 7.318737461839637604e+01, 1.170311290733942045e+01, 5.229930226007532923e+01, 7.032417362568190278e+00, 9.920628201068907970e+00, 1.843308644696896037e+00, 5.729681548442685113e+01, 6.624643018560826135e+01, 1.892163558954037228e+01, 1.069067709324806437e+01, 1.766359323473367482e+01, 7.134338645738561802e+00, 7.182588539735461630e+00
2.017000000000000000e+03, 7.352916687388248818e+01, 1.169681664288379430e+01, 5.218319108183609245e+01, 7.007854813170528274e+00, 1.009565211278870223e+01, 2.060495190850441638e+00, 5.740447208626757458e+01, 6.628641349740368582e+01, 1.906285995478132378e+01, 1.064639894816555277e+01, 1.768292991605266451e+01, 6.914926572247678038e+00, 7.338034354350873478e+00
2.018000000000000000e+03, 7.365142792648688896e+01, 1.180837388829994694e+01, 5.240326515524887441e+01, 6.863582670850939316e+00, 1.017566607953924240e+01, 2.089954945698047517e+00, 5.755950246254619884e+01, 6.610206856408953513e+01, 1.900669494688167660e+01, 1.066173463481203321e+01, 1.782363676008628062e+01, 6.832690507302540794e+00, 7.411200960121267833e+00
2.019000000000000000e+03, 7.355691593879875256e+01, 1.192674654887928831e+01, 5.264342286567873685e+01, 6.916700551096584881e+00, 1.074855552433336392e+01, 1.705786613356652603e+00, 5.773747505848386652e+01, 6.624348634056210017e+01, 1.912001468825213024e+01, 1.063984576271851878e+01, 1.803001270077012208e+01, 6.908530077365042210e+00, 7.345982657364422685e+00
2.020000000000000000e+03, 7.346068925140615136e+01, 1.187818555230366790e+01, 5.277798021724716904e+01, 7.084568027078947061e+00, 1.065152830951076268e+01, 2.049696670638372353e+00, 5.784549854162310112e+01, 6.640437644746320700e+01, 1.914783441828704724e+01, 1.071210335514213341e+01, 1.806523597097702449e+01, 6.986325440415694032e+00, 7.335566563367294179e+00
2.021000000000000000e+03, 7.357056788437816408e+01, 1.202809601784236726e+01, 5.284042090892326371e+01, 7.047461736805790800e+00, 9.784940956460522088e+00, 2.065985932832600902e+00, 5.785416583263838675e+01, 6.678028490215346835e+01, 1.929587527458964757e+01, 1.073055196488662055e+01, 1.795615958769936427e+01, 6.944612909091744335e+00, 7.265360827619507411e+00
2.022000000000000000e+03, 7.378839690227161441e+01, 1.233522110754562640e+01, 5.259402259805467139e+01, 7.083953988743259877e+00, 1.009692844784080279e+01, 1.766869833448798444e+00, 5.787510168725754056e+01, 6.680870203578200517e+01, 1.938792912343014763e+01, 1.067254232047563178e+01, 1.777252129309248474e+01, 6.999470448179078375e+00, 7.385192027622105471e+00
2.023000000000000000e+03, 7.386346073566728876e+01, 1.231736629914920655e+01, 5.278459434093167602e+01, 7.254834847303361478e+00, 1.139902085214411542e+01, 1.889236367505495284e+00, 5.800401731265525029e+01, 6.700653740168566230e+01, 1.946809709074630135e+01, 1.063581751989000779e+01, 1.788418252689743682e+01, 7.152656664536213071e+00, 7.445568725011102451e+00
2.024000000000000000e+03, 7.360181256885702794e+01, 1.201912862498169687e+01, 5.291369471344906827e+01, 7.181192799571293861e+00, 1.117961251753874130e+01, 1.966171898710877164e+00, 5.824998307978786016e+01, 6.695961838562672597e+01, 1.951542328856660191e+01, 1.070418286393326390e+01, 1.776241152569379267e+01, 7.210427858818116320e+00, 7.473427898689188886e+00
2.025000000000000000e+03, 7.347036271352112635e+01, 1.205558176151080829e+01, 5.274752792302631121e+01, 7.096826869051176878e+00, 1.046996267297273420e+01, 1.929067861632581593e+00, 5.826716891041061075e+01, 6.711418983874739297e+01, 1.959272071868062426e+01, 1.076250524805301545e+01, 1.789987995474878701e+01, 7.348833963435650318e+00, 7.458042346998141170e+00
2.026000000000000000e+03, 7.360161256878251379e+01, 1.203026864689497977e+01, 5.278112424505841460e+01, 7.252973446369215260e+00, 1.023936236906939179e+01, 1.895930889172245282e+00, 5.829050214627207538e+01, 6.735829838174014128e+01, 1.970622859415621875e+01, 1.079374762836527957e+01, 1.781283895458011912e+01, 7.216645216663004625e+00, 7.478426871184757019e+00
2.027000000000000000e+03, 7.379337008035048484e+01, 1.203175953336059045e+01, 5.312605023868986365e+01, 7.409443460890343225e+00, 9.990887603846116960e+00, 2.000795275907023996e+00, 5.843626287911516926e+01, 6.730959145604319360e+01, 1.974632137319834868e+01, 1.079468136835108361e+01, 1.793807045745151640e+01, 7.201842515978557735e+00, 7.514764735326458833e+00
2.028000000000000000e+03, 7.370843487675874428e+01, 1.192379636295988199e+01, 5.337988735206497637e+01, 7.269913114500891282e+00, 1.022749689800251893e+01, 1.978009487412838663e+00, 5.857227277270182952e+01, 6.738988461440501965e+01, 1.982476567103891796e+01, 1.081292571462726926e+01, 1.802958049169485122e+01, 7.210671517015763143e+00, 7.438439019197213398e+00
2.029000000000000000e+03, 7.367918335398360341e+01, 1.187354840848977666e+01, 5.351156471647694701e+01, 7.239266920285994722e+00, 1.068349965659106360e+01, 2.137552582194887307e+00, 5.868259838057749533e+01, 6.769121520226407540e+01, 1.987582920513828810e+01, 1.091510089006650297e+01, 1.793240674922152422e+01, 7.247815579476396763e+00, 7.602197749030602303e+00
2.030000000000000000e+03, 7.365961466247469502e+01, 1.172542012632314190e+01, 5.343935763566914687e+01, 7.266975526141970398e+00, 1.054010383253558913e+01, 1.714017407005421045e+00, 5.864503289920675400e+01, 6.785163914221533332e+01, 2.002117365382551029e+01, 1.100572023436377478e+01, 1.783674354987805799e+01, 7.269537275191111370e+00, 7.765451616706737781e+00
2.031000000000000000e+03, 7.389740882185604676e+01, 1.187162523921100288e+01, 5.370188322133549264e+01, 7.315405341727137412e+00, 1.050056660117503071e+01, 1.879469433284554070e+00, 5.858361546694877831e+01, 6.788505515317591232e+01, 2.003311144092873519e+01, 1.102476887785746484e+01, 1.788678133101258894e+01, 7.259798445351504981e+00, 7.631826435874996761e+00
2.032000000000000000e+03, 7.410084344988786142e+01, 1.203569187139964747e+01, 5.400055859536169578e+01, 7.304507642740374784e+00, 1.078940737367649838e+01, 1.983459587284463144e+00, 5.857768829507089947e+01, 6.791781296058303496e+01, 2.015632134900387840e+01, 1.096147745155045250e+01, 1.764392603155835815e+01, 7.252555685458325740e+00, 7.542468928549487472e+00
2.033000000000000000e+03, 7.406336067619558605e+01, 1.207954565492936538e+01, 5.416205519334472029e+01, 7.204579149401174831e+00, 1.025572302835636229e+01, 1.926785815857643192e+00, 5.880553428330703980e+01, 6.816334829701835929e+01, 2.027912929858743496e+01, 1.094204214457550783e+01, 1.769960548022858404e+01, 7.375708979827246381e+00, 7.700812913928714920e+00
2.034000000000000000e+03, 7.411963504155660587e+01, 1.232457172722530991e+01, 5.440023001756845389e+01, 7.192042786233064255e+00, 1.034914043684735141e+01, 1.790385376222477287e+00, 5.895019010650346303e+01, 6.829911468019963650e+01, 2.035249588592693826e+01, 1.089434152912276232e+01, 1.779027277473310420e+01, 7.320570221506885744e+00, 7.775579047849761949e+00
2.035000000000000000e+03, 7.418260724813407592e+01, 1.224135940719661875e+01, 5.495670293297543907e+01, 7.329661319029121991e+00, 1.033315376496900129e+01, 1.850730681356280494e+00, 5.904602286765197050e+01, 6.848759707333992708e+01, 2.041422247107253440e+01, 1.090160934554539374e+01, 1.786124068279904620e+01, 7.266152376624614995e+00, 7.803167884325326042e+00
2.036000000000000000e+03, 7.449128268652825113e+01, 1.195947315039320813e+01, 5.518308396950583727e+01, 7.434143243234265341e+00, 1.047359585607823185e+01, 1.892855410232251456e+00, 5.899509793093513110e+01, 6.845500562954103430e+01, 2.043489042541503409e+01, 1.089609426374556733e+01, 1.786591883552279825e+01, 7.208562152138653367e+00, 7.795951588371986318e+00
2.037000000000000000e+03, 7.462799026425417992e+01, 1.178174505400247440e+01, 5.541784953022645510e+01, 7.441537411799050261e+00, 1.068753297391829449e+01, 1.928461717598264125e+00, 5.908799143069229842e+01, 6.883128730822883767e+01, 2.045117772155661129e+01, 1.085910557732851700e+01, 1.801179774383356147e+01, 7.152436766725622341e+00, 7.694930739070898085e+00
2.038000000000000000e+03, 7.458758935029553072e+01, 1.187659376875886963e+01, 5.574719706395352858e+01, 7.511754919915922812e+00, 1.019360314129760781e+01, 2.043271528513213031e+00, 5.934106398932362936e+01, 6.909569487016182165e+01, 2.047348481397580855e+01, 1.088973118624642922e+01, 1.800886438996460370e+01, 7.169120268698661924e+00, 7.552935192036095202e+00
2.039000000000000000e+03, 7.441997865409224744e+01, 1.196494792899057913e+01, 5.595882091019501559e+01, 7.454612095914384007e+00, 1.022016181284812220e+01, 1.989205122723190611e+00, 5.950875349586583951e+01, 6.921358061643613269e+01, 2.061267691931044510e+01, 1.092943327046581281e+01, 1.807575336471296978e+01, 7.360616092268117860e+00, 7.593344515039675002e+00
2.040000000000000000e+03, 7.460564459395600068e+01, 1.205193064687897575e+01, 5.603275111847555934e+01, 7.633837165783657674e+00, 1.027209722732351338e+01, 2.038528122846991586e+00, 5.960636680694421585e+01, 6.923989757653433230e+01, 2.076335428442423137e+01, 1.094388512928671986e+01, 1.813560511264221731e+01, 7.349807482691207206e+00, 7.691968591441694869e+00
2.041000000000000000e+03, 7.485047295501146891e+01, 1.223206252958280693e+01, 5.613387521435259941e+01, 7.671790851375889453e+00, 1.103527786209411765e+01, 1.746932673522458179e+00, 5.968525440953938954e+01, 6.958841806268178232e+01, 2.092393107613432335e+01, 1.091758381077747231e+01, 1.806577944054878770e+01, 7.351363753558445069e+00, 7.719583160157741375e+00
2.042000000000000000e+03, 7.505756033863573862e+01, 1.205147942954485885e+01, 5.643775408312426123e+01, 7.748228015436963823e+00, 1.070609743434730277e+01, 1.844626925866566181e+00, 5.976605371644192388e+01, 6.965311854197436503e+01, 2.111092542224016810e+01, 1.089561565609391458e+01, 1.799426450935474264e+01, 7.325505948286223479e+00, 7.696586323548094910e+00
2.043000000000000000e+03, 7.492376070214778849e+01, 1.206707957865130076e+01, 5.660947055808453854e+01, 7.802309720857054209e+00, 1.024980191351318481e+01, 1.953086278168190804e+00, 5.971883228709067026e+01, 6.973022931695619775e+01, 2.116023464584788982e+01, 1.087199288892432136e+01, 1.794730021380505747e+01, 7.467928607412483544e+00, 7.723645465025721357e+00
2.044000000000000000e+03, 7.490967422528515840e+01, 1.218129984090453810e+01, 5.675284027850140234e+01, 7.659681208877421099e+00, 1.113441335856933634e+01, 1.851156060947126480e+00, 5.983511291890278017e+01, 7.000249238551339204e+01, 2.107736903584810406e+01, 1.089842327312176273e+01, 1.820376230517470972e+01, 7.552552261698731506e+00, 7.761902169601657242e+00
2.045000000000000000e+03, 7.520920601166557162e+01, 1.200779982696863613e+01, 5.670790625902558446e+01, 7.594825160925089413e+00, 1.097676799002084280e+01, 2.060945649078985031e+00, 5.992449911946190610e+01, 6.992859841672823507e+01, 2.107302041248102142e+01, 1.091547722888354599e+01, 1.817207869745233140e+01, 7.579079955724786544e+00, 7.876975399346428652e+00
2.046000000000000000e+03, 7.550440696312404043e+01, 1.213966204105958546e+01, 5.684997543114744900e+01, 7.525975962072220860e+00, 1.003483821961263622e+01, 2.089286420447817871e+00, 5.994991843141774979e+01, 6.985859462241013773e+01, 2.116736234700634256e+01, 1.094124644792741030e+01, 1.824429410117050665e+01, 7.518598389200608523e+00, 7.946257736036066888e+00
2.047000000000000000e+03, 7.564313123643708536e+01, 1.224774046729104704e+01, 5.692485494984282468e+01, 7.658146527391521907e+00, 1.031999471958600445e+01, 1.787893046042486445e+00, 5.982705683846094757e+01, 7.008179165784258657e+01, 2.110890973626742095e+01, 1.089782190522505445e+01, 1.827501258884841917e+01, 7.475178089628263578e+00, 8.089419563230729082e+00
2.048000000000000000e+03, 7.567250307020314892e+01, 1.213792710104766215e+01, 5.731081370364262284e+01, 7.739111744773500945e+00, 1.041791443697916719e+01, 1.644155082728219863e+00, 5.973601521496400579e+01, 7.036506839461964091e+01, 2.106913828775503816e+01, 1.082152668478797430e+01, 1.856917385822062982e+01, 7.311269413153893559e+00, 8.035644691968851561e+00
2.049000000000000000e+03, 7.584039485990690821e+01, 1.212098686690073457e+01, 5.743330724021783595e+01, 7.580297546245281737e+00, 1.100665630754007118e+01, 1.768702734617239702e+00, 5.979092217434514112e+01, 7.042639123613177787e+01, 2.115875920890162121e+01, 1.078322541879227714e+01, 1.854498781828855769e+01, 7.392781691400201360e+00, 8.077581590600237504e+00
2.050000000000000000e+03, 7.584505847507135456e+01, 1.192924573647645303e+01, 5.763553696357708134e+01, 7.688743641265426199e+00, 1.066444497323551310e+01, 2.038057216525634541e+00, 5.993590416624164163e+01, 7.055308827824613616e+01, 2.119334958551328896e+01, 1.075521825538295495e+01, 1.872642013087199686e+01, 7.528875459966745787e+00, 7.991566430038210100e+00
2.051000000000000000e+03, 7.595807994930439122e+01, 1.195567872365807283e+01, 5.757038489711641915e+01, 7.781124106408684682e+00, 1.068534865480975959e+01, 2.080387202547242964e+00, 5.990925201922308929e+01, 7.070752678814665160e+01, 2.138142369622651273e+01, 1.076837590408871215e+01, 1.872733892725375071e+01, 7.658965986456676589e+00, 7.968839413553326700e+00
2.052000000000000000e+03, 7.624250606481390946e+01, 1.230298656238806565e+01, 5.779537322548100065e+01, 7.815317432612411075e+00, 1.051291067400660850e+01, 1.857880853643482100e+00, 5.987008782798807260e+01, 7.061980321159347795e+01, 2.124316279510441063e+01, 1.068726994829598276e+01, 1.856644631023086589e+01, 7.725004124911010628e+00, 8.041690475325928844e+00
2.053000000000000000e+03, 7.641961040989116327e+01, 1.252018356153392098e+01, 5.804453674810745412e+01, 7.901104143462361229e+00, 1.087267851289211862e+01, 1.848830548342114799e+00, 5.996856918095032540e+01, 7.057804011423444024e+01, 2.125980400697641670e+01, 1.063406506135138230e+01, 1.866192201894455494e+01, 7.748511184598001478e+00, 8.096562551401730090e+00
2.054000000000000000e+03, 7.687162489432475354e+01, 1.248631818993025533e+01, 5.806413383518339799e+01, 7.954471190832332006e+00, 1.080332624514490192e+01, 1.799393074362629408e+00, 6.008686009058219213e+01, 7.072649107961954940e+01, 2.132325414222842852e+01, 1.068581259907991132e+01, 1.853057221529661902e+01, 7.702342191397895554e+00, 8.171775390548109641e+00
2.055000000000000000e+03, 7.703095517333997577e+01, 1.236500899775606577e+01, 5.811702354882056198e+01, 7.671346608562250147e+00, 1.033547235243920959e+01, 1.799791045792809019e+00, 6.028674770252207082e+01, 7.087122309860579605e+01, 2.141739932696629012e+01, 1.066164452261301854e+01, 1.824717394751047195e+01, 7.612499904312530319e+00, 8.169238703385300227e+00
2.056000000000000000e+03, 7.687829673381985174e+01, 1.203446152800516522e+01, 5.848103830312999918e+01, 7.785424753258705977e+00, 1.058411876896584758e+01, 2.105839844084916646e+00, 6.032705479634417145e+01, 7.082496305153755145e+01, 2.150716884011981378e+01, 1.066320772624573543e+01, 1.834446375094820780e+01, 7.594386311653106070e+00, 8.201419869108788063e+00
